ingredients,alcohol,sweet,sour,bitter,body,herbal,coffee,fruit,citrus,creamy
orange_liqueur,30,8,4,1,3,1,0,8,6,0
orange_juice,0,6,5,0,2,0,0,9,7,0
lime_juice,0,2,9,0,1,0,0,6,9,0
lemon_juice,0,3,9,0,1,0,0,5,10,0
cherry_lequeur,25,8,3,0,3,0,0,9,2,0
cranberry_juice,0,5,7,0,1,0,0,7,4,0
pineapple_juice,0,7,5,0,2,0,0,9,3,0
almond_liqueur,25,9,1,0,4,2,0,2,0,1
simple_syrup,0,10,0,0,1,0,0,0,0,0
coffee_liqueur,25,7,0,1,4,0,9,1,0,1
herbal_liqueur,35,6,2,1,4,9,0,1,1,0
dry_vermouth,18,1,2,2,3,5,0,2,1,0
sweet_vermouth,16,6,2,1,4,4,0,3,1,0
bitters,45,0,0,10,2,7,0,0,0,0
pot_wine,20,8,1,1,5,1,0,3,0,0
milk,0,3,0,0,6,0,0,0,0,10
mint_leaves,0,1,1,0,1,9,0,1,2,0
gin,40,0,0,1,4,8,0,0,1,0
rum,40,1,0,1,4,0,0,1,0,0
vodka,40,0,0,0,3,0,0,0,0,0
brandy,40,2,0,1,5,1,0,2,0,0
tequila,40,0,0,2,4,2,0,0,1,0
whiskey,40,1,0,2,6,2,1,0,0,0
orange_garnish,0,1,2,0,0,0,0,3,4,0
lime_garnish,0,0,0,0,0,0,0,2,5,0
cherry_garnish,0,4,0,0,0,0,0,4,1,0
mint_garnish,0,1,0,0,0,9,0,0,0,0
olive_garnish,0,0,1,1,0,3,0,0,0,0
ice,0,0,0,0,0,0,0,0,0,0
water,0,0,0,0,0,0,0,0,0,0
soda,0,0,1,0,0,0,0,0,1,0
salt,0,0,0,0,0,0,0,0,0,0
lemon_garnish,0,1,4,0,0,0,0,2,5,0
