abv,sweetness,sourness,bitterness,body,herbal,coffee,fruity,citrus,creamy,berry,tropical,sweet,smoky,spicy,nutty,plain
40,0,0,2,4,9,0,0,1,0,0,0,0,0,0,0,4
40,1,0,1,4,0,0,2,0,0,0,4,4,0,0,0,4
40,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10
40,1,0,3,6,2,1,0,0,0,0,0,0,8,4,5,0
40,2,0,1,5,1,0,2,0,0,0,0,0,6,3,6,0
40,0,1,2,4,2,0,0,1,0,0,0,0,3,8,0,0
40,1,0,4,5,9,0,0,0,0,0,0,0,0,0,0,0
45,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,7
30,8,1,2,3,1,0,8,6,0,0,0,7,0,0,0,0
30,8,1,2,3,1,0,8,6,0,0,0,7,0,0,0,0
0,6,3,0,2,0,0,9,7,0,0,0,8,0,0,0,0
0,2,9,0,1,0,0,6,9,0,0,0,1,0,0,0,0
0,3,9,0,1,0,0,5,10,0,0,0,3,0,0,0,0
25,8,2,1,3,0,0,9,2,0,9,0,7,0,0,0,0
0,5,7,0,1,0,0,7,4,0,8,0,9,0,0,0,0
0,7,5,0,2,0,0,9,3,0,0,9,8,0,0,0,0
25,9,1,1,4,2,0,2,0,1,0,0,8,0,0,10,0
0,10,0,0,1,0,0,0,0,0,0,0,10,0,0,0,5
20,7,0,1,4,0,9,1,0,1,0,0,7,0,0,6,0
35,6,1,1,4,9,0,1,1,0,0,0,0,0,0,0,0
20,1,2,2,3,6,0,2,1,0,0,0,0,0,0,0,0
15,6,2,1,4,5,0,3,1,0,0,0,7,0,0,0,0
45,0,0,10,2,8,0,0,0,0,0,0,0,0,6,0,0
0,3,0,0,6,0,0,0,0,10,0,0,5,0,0,0,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0,9,2,0,1,0,0,8,4,0,10,0,10,0,0,0,0
